id,nome,orgao,cargo,situacao,fonte_principal
stf-alexandre-de-moraes,Alexandre de Moraes,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Alexandre_de_Moraes
stf-andre-mendonca,Andre Mendonca,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Andr%C3%A9_Mendon%C3%A7a
stf-carmen-lucia,Carmen Lucia,STF,Ministro,titular,https://pt.wikipedia.org/wiki/C%C3%A1rmen_L%C3%BAcia
stf-cristiano-zanin,Cristiano Zanin,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Cristiano_Zanin
stf-dias-toffoli,Dias Toffoli,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Dias_Toffoli
stf-edson-fachin,Edson Fachin,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Edson_Fachin
stf-flavio-dino,Flavio Dino,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Fl%C3%A1vio_Dino
stf-gilmar-mendes,Gilmar Mendes,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Gilmar_Mendes
stf-luis-roberto-barroso,Luis Roberto Barroso,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Lu%C3%ADs_Roberto_Barroso
stf-luiz-fux,Luiz Fux,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Luiz_Fux
stf-nunes-marques,Nunes Marques,STF,Ministro,titular,https://pt.wikipedia.org/wiki/Nunes_Marques
stj-afranio-vilela,Afrânio Vilela,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Afr%C3%A2nio_Vilela
stj-antonio-carlos-ferreira,Antonio Carlos Ferreira,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Antonio_Carlos_Ferreira
stj-antonio-saldanha-palheiro,Antonio Saldanha Palheiro,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Antonio_Saldanha_Palheiro
stj-benedito-goncalves,Benedito Gonçalves,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Benedito_Gon%C3%A7alves
stj-carlos-pires-brandao,Carlos Pires Brandão,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Carlos_Pires_Brand%C3%A3o
stj-daniela-teixeira,Daniela Teixeira,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Daniela_Teixeira
stj-francisco-falcao,Francisco Falcão,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Francisco_Falc%C3%A3o
stj-gurgel-de-faria,Gurgel de Faria,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Gurgel_de_Faria
stj-herman-benjamin,Herman Benjamin,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Herman_Benjamin
stj-humberto-martins,Humberto Martins,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Humberto_Martins_(magistrado)
stj-isabel-gallotti,Isabel Gallotti,STJ,Ministro,titular,https://pt.wikipedia.org/wiki/Isabel_Gallotti
